                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.08879,                0.80625,                0.99091,                0.21133,              0.0033321,              0.0033321,              0.0033321
                      2,                0.04117,                0.91785,                0.99964,                0.18759,              0.0066435,              0.0066435,              0.0066435
                      3,                0.02494,                0.92984,                0.99855,                0.18487,              0.0099328,              0.0099328,              0.0099328
                      4,                0.01611,                0.91058,                0.99818,                0.18583,               0.009901,               0.009901,               0.009901
                      5,                0.01002,                0.94984,                0.99927,                0.18002,               0.009901,               0.009901,               0.009901
                      6,                0.00756,                 0.9313,                0.99891,                0.18148,               0.009868,               0.009868,               0.009868
                      7,                0.00564,                0.95056,                      1,                0.17889,               0.009835,               0.009835,               0.009835
                      8,                0.00496,                0.95456,                0.99927,                0.17871,               0.009802,               0.009802,               0.009802
                      9,                0.00377,                0.95674,                0.99927,                0.17866,               0.009769,               0.009769,               0.009769
                     10,                0.00373,                0.94293,                0.99891,                0.17977,               0.009736,               0.009736,               0.009736
                     11,                0.00321,                0.94111,                0.99855,                0.17992,               0.009703,               0.009703,               0.009703
                     12,                0.00254,                0.95456,                0.99818,                 0.1782,                0.00967,                0.00967,                0.00967
                     13,                0.00246,                0.95384,                0.99855,                0.17845,               0.009637,               0.009637,               0.009637
                     14,                0.00227,                0.95274,                0.99818,                0.17831,               0.009604,               0.009604,               0.009604
                     15,                0.00204,                0.95274,                0.99818,                 0.1784,               0.009571,               0.009571,               0.009571
                     16,                0.00199,                0.95093,                0.99927,                0.17824,               0.009538,               0.009538,               0.009538
                     17,                0.00155,                0.95238,                0.99891,                0.17812,               0.009505,               0.009505,               0.009505
                     18,                0.00161,                0.95384,                0.99891,                0.17797,               0.009472,               0.009472,               0.009472
                     19,                0.00161,                0.95456,                0.99818,                 0.1782,               0.009439,               0.009439,               0.009439
                     20,                0.00157,                0.95783,                0.99782,                0.17768,               0.009406,               0.009406,               0.009406
                     21,                0.00137,                0.95929,                0.99855,                0.17748,               0.009373,               0.009373,               0.009373
                     22,                0.00138,                0.95274,                0.99927,                0.17789,                0.00934,                0.00934,                0.00934
                     23,                0.00127,                0.95129,                0.99891,                0.17803,               0.009307,               0.009307,               0.009307
                     24,                0.00168,                0.95165,                0.99891,                0.17862,               0.009274,               0.009274,               0.009274
                     25,                0.00208,                0.94875,                0.99855,                0.17861,               0.009241,               0.009241,               0.009241
                     26,                0.00149,                0.95529,                0.99891,                0.17785,               0.009208,               0.009208,               0.009208
                     27,                0.00149,                0.95384,                0.99891,                0.17796,               0.009175,               0.009175,               0.009175
                     28,                0.00112,                0.95638,                0.99855,                0.17782,               0.009142,               0.009142,               0.009142
                     29,                0.00122,                0.95456,                0.99891,                 0.1783,               0.009109,               0.009109,               0.009109
