epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,49.2374,1.37643,0.79787,0.99338,1.72124,0.00331675,0.00331675,0.00331675
2,91.1252,0.53635,0.90555,0.99743,1.51926,0.00662814,0.00662814,0.00662814
3,134.57,0.32938,0.93128,0.99853,1.46511,0.00991753,0.00991753,0.00991753
4,177.676,0.26318,0.93201,0.99926,1.47044,0.009901,0.009901,0.009901
5,221.175,0.22601,0.95333,1,1.43777,0.009868,0.009868,0.009868
6,263.498,0.20678,0.95957,0.99963,1.42942,0.009835,0.009835,0.009835
7,307.024,0.18526,0.94892,0.99963,1.43759,0.009802,0.009802,0.009802
8,350.96,0.16668,0.94781,1,1.44061,0.009769,0.009769,0.009769
9,399.768,0.15568,0.96251,0.99963,1.42294,0.009736,0.009736,0.009736
10,446.339,0.16203,0.96031,0.99926,1.42179,0.009703,0.009703,0.009703
11,491.486,0.14956,0.94818,0.99963,1.43404,0.00967,0.00967,0.00967
12,535.79,0.14644,0.95406,0.99926,1.4248,0.009637,0.009637,0.009637
13,580.688,0.14717,0.95957,0.99963,1.42196,0.009604,0.009604,0.009604
14,630.801,0.13999,0.95443,0.9989,1.43111,0.009571,0.009571,0.009571
15,677.532,0.13468,0.96509,0.99963,1.41832,0.009538,0.009538,0.009538
16,725.49,0.13436,0.95957,0.99963,1.42223,0.009505,0.009505,0.009505
17,772.558,0.14004,0.96325,1,1.4177,0.009472,0.009472,0.009472
18,818.979,0.13543,0.95847,0.99926,1.42285,0.009439,0.009439,0.009439
19,866.233,0.13309,0.96398,1,1.41912,0.009406,0.009406,0.009406
20,912.929,0.13503,0.96766,0.99926,1.41406,0.009373,0.009373,0.009373
21,959.245,0.13155,0.96141,0.99963,1.42019,0.00934,0.00934,0.00934
22,1005.27,0.13089,0.95774,1,1.42267,0.009307,0.009307,0.009307
23,1051.55,0.13499,0.95994,0.99926,1.42161,0.009274,0.009274,0.009274
24,1100.1,0.13686,0.96251,0.99963,1.41921,0.009241,0.009241,0.009241
25,1149.02,0.138,0.96656,0.99963,1.41309,0.009208,0.009208,0.009208
26,1198.07,0.13155,0.95884,0.99963,1.41903,0.009175,0.009175,0.009175
27,1247.89,0.13754,0.96472,0.99926,1.41388,0.009142,0.009142,0.009142
28,1300.72,0.14089,0.96178,1,1.4185,0.009109,0.009109,0.009109
29,1349.33,0.13864,0.96509,0.99853,1.41726,0.009076,0.009076,0.009076
30,1394.77,0.13299,0.96619,0.9989,1.41513,0.009043,0.009043,0.009043
31,1442.13,0.14471,0.96692,0.99963,1.413,0.00901,0.00901,0.00901
32,1493.61,0.14171,0.96398,1,1.41575,0.008977,0.008977,0.008977
33,1542.59,0.13651,0.96325,0.99963,1.41344,0.008944,0.008944,0.008944
34,1591.67,0.13962,0.96766,1,1.41078,0.008911,0.008911,0.008911
35,1640.35,0.13005,0.96509,1,1.41344,0.008878,0.008878,0.008878
36,1688.88,0.14372,0.96398,0.99926,1.41504,0.008845,0.008845,0.008845
37,1738.22,0.1378,0.96766,0.9989,1.41193,0.008812,0.008812,0.008812
38,1787.31,0.13052,0.96766,0.9989,1.41025,0.008779,0.008779,0.008779
39,1836.32,0.13084,0.96876,0.99853,1.40953,0.008746,0.008746,0.008746
40,1884.34,0.13517,0.96803,1,1.40936,0.008713,0.008713,0.008713
41,1932.73,0.13286,0.9706,0.99963,1.40794,0.00868,0.00868,0.00868
42,1977.28,0.14803,0.9695,1,1.40723,0.008647,0.008647,0.008647
43,2021.68,0.1464,0.96803,0.99926,1.4082,0.008614,0.008614,0.008614
44,2067.16,0.13125,0.97023,1,1.40714,0.008581,0.008581,0.008581
45,2111.57,0.14094,0.97097,0.99963,1.40749,0.008548,0.008548,0.008548
46,2157.9,0.13158,0.97023,0.9989,1.40643,0.008515,0.008515,0.008515
47,2202.98,0.14717,0.9695,0.99963,1.40687,0.008482,0.008482,0.008482
48,2248.53,0.14818,0.97207,0.99963,1.40501,0.008449,0.008449,0.008449
49,2294.06,0.14006,0.97538,0.9989,1.40368,0.008416,0.008416,0.008416
50,2338.78,0.13298,0.97097,0.99926,1.40403,0.008383,0.008383,0.008383
51,2383.38,0.13813,0.97133,0.99926,1.40669,0.00835,0.00835,0.00835
52,2428.72,0.12703,0.97207,0.99926,1.4043,0.008317,0.008317,0.008317
53,2473.26,0.13227,0.96913,0.99926,1.4043,0.008284,0.008284,0.008284
54,2518.81,0.13315,0.97317,0.99926,1.40305,0.008251,0.008251,0.008251
55,2563.97,0.13768,0.9728,0.99926,1.40199,0.008218,0.008218,0.008218
56,2609.89,0.13636,0.97464,0.99853,1.40314,0.008185,0.008185,0.008185
57,2654.86,0.13663,0.97464,0.99926,1.40217,0.008152,0.008152,0.008152
58,2700.17,0.14013,0.97538,0.99853,1.40217,0.008119,0.008119,0.008119
59,2746.13,0.1443,0.97538,0.99853,1.40199,0.008086,0.008086,0.008086
60,2791.19,0.14225,0.97538,0.99926,1.4019,0.008053,0.008053,0.008053
61,2836.12,0.13848,0.97611,0.99963,1.40217,0.00802,0.00802,0.00802
62,2881.34,0.12662,0.9728,0.99963,1.40208,0.007987,0.007987,0.007987
63,2926.78,0.13154,0.97354,0.99963,1.40217,0.007954,0.007954,0.007954
64,2972.46,0.12913,0.97354,0.99963,1.40217,0.007921,0.007921,0.007921
65,3018.52,0.1427,0.97648,0.99963,1.40208,0.007888,0.007888,0.007888
66,3063.58,0.12977,0.97427,0.99963,1.40146,0.007855,0.007855,0.007855
67,3108.57,0.12936,0.97427,0.99963,1.40128,0.007822,0.007822,0.007822
68,3154.3,0.13094,0.97464,0.99963,1.40146,0.007789,0.007789,0.007789
69,3200.13,0.13399,0.97464,0.99926,1.40119,0.007756,0.007756,0.007756
70,3245.26,0.1281,0.97391,0.99926,1.40208,0.007723,0.007723,0.007723
71,3291.53,0.11875,0.97391,0.99926,1.4019,0.00769,0.00769,0.00769
72,3337.11,0.13013,0.97464,0.99926,1.40217,0.007657,0.007657,0.007657
73,3382.76,0.12723,0.97501,0.99926,1.40021,0.007624,0.007624,0.007624
74,3428.78,0.12079,0.97538,0.99926,1.40048,0.007591,0.007591,0.007591
75,3474.25,0.12871,0.97574,0.99926,1.40004,0.007558,0.007558,0.007558
76,3519.21,0.12291,0.97538,0.99926,1.40083,0.007525,0.007525,0.007525
77,3564.28,0.12815,0.97648,0.99926,1.40075,0.007492,0.007492,0.007492
78,3609.92,0.11836,0.97611,0.99963,1.40021,0.007459,0.007459,0.007459
79,3655.67,0.11674,0.97611,0.99963,1.40039,0.007426,0.007426,0.007426
80,3701.83,0.13073,0.97538,0.99963,1.40012,0.007393,0.007393,0.007393
81,3746.95,0.1175,0.97574,0.99963,1.40119,0.00736,0.00736,0.00736
82,3792.91,0.12304,0.97538,0.99963,1.40119,0.007327,0.007327,0.007327
83,3838.09,0.1135,0.97501,0.99963,1.4003,0.007294,0.007294,0.007294
84,3883.92,0.1266,0.97464,0.99963,1.40039,0.007261,0.007261,0.007261
85,3929.59,0.11593,0.97538,0.99963,1.40012,0.007228,0.007228,0.007228
86,3975.61,0.12394,0.97501,0.99963,1.39995,0.007195,0.007195,0.007195
87,4021.47,0.11337,0.97648,0.99963,1.40004,0.007162,0.007162,0.007162
88,4067.04,0.1126,0.97648,0.99963,1.40012,0.007129,0.007129,0.007129
89,4112.11,0.11598,0.97538,0.99963,1.39986,0.007096,0.007096,0.007096
90,4157.43,0.1192,0.97611,0.99963,1.39995,0.007063,0.007063,0.007063
91,4203.42,0.11459,0.97574,0.99963,1.40004,0.00703,0.00703,0.00703
92,4248.81,0.11147,0.97574,0.99963,1.39986,0.006997,0.006997,0.006997
93,4294.61,0.10617,0.97611,0.99963,1.39968,0.006964,0.006964,0.006964
94,4340.76,0.11138,0.97501,0.99963,1.40004,0.006931,0.006931,0.006931
95,4386.23,0.11691,0.97501,0.99963,1.40012,0.006898,0.006898,0.006898
96,4430.97,0.11452,0.97501,0.99963,1.40012,0.006865,0.006865,0.006865
97,4476.09,0.11659,0.97501,0.99963,1.4011,0.006832,0.006832,0.006832
98,4520.82,0.11527,0.97501,0.99963,1.39977,0.006799,0.006799,0.006799
99,4566.71,0.12059,0.97501,0.99963,1.40075,0.006766,0.006766,0.006766
100,4611.67,0.10753,0.97501,0.99963,1.40075,0.006733,0.006733,0.006733
101,4657.05,0.1104,0.97538,0.99963,1.40048,0.0067,0.0067,0.0067
102,4702.36,0.10963,0.97574,0.99963,1.4003,0.006667,0.006667,0.006667
103,4747.28,0.11562,0.97574,0.99963,1.40048,0.006634,0.006634,0.006634
104,4792.86,0.10658,0.97574,0.99963,1.40012,0.006601,0.006601,0.006601
105,4838.62,0.1089,0.97574,0.99963,1.40057,0.006568,0.006568,0.006568
106,4883.75,0.105,0.97574,0.99963,1.40039,0.006535,0.006535,0.006535
107,4928.35,0.10327,0.97574,0.99963,1.40075,0.006502,0.006502,0.006502
108,4973.76,0.11786,0.97538,0.99963,1.40066,0.006469,0.006469,0.006469
109,5018.58,0.10074,0.97538,0.99963,1.4003,0.006436,0.006436,0.006436
110,5064.14,0.10336,0.97574,0.99963,1.4011,0.006403,0.006403,0.006403
111,5108.86,0.10488,0.97611,0.99963,1.40092,0.00637,0.00637,0.00637
112,5155.26,0.11008,0.97574,0.99963,1.40101,0.006337,0.006337,0.006337
113,5200.63,0.11096,0.97574,0.99963,1.40048,0.006304,0.006304,0.006304
114,5245.64,0.1052,0.97574,0.99963,1.40092,0.006271,0.006271,0.006271
115,5290.66,0.10736,0.97611,0.99963,1.40066,0.006238,0.006238,0.006238
116,5336.78,0.10114,0.97538,0.99963,1.40048,0.006205,0.006205,0.006205
117,5382.22,0.10413,0.97464,0.99963,1.4003,0.006172,0.006172,0.006172
118,5426.75,0.10972,0.97464,0.99963,1.40057,0.006139,0.006139,0.006139
119,5472.41,0.09846,0.97501,0.99963,1.40039,0.006106,0.006106,0.006106
120,5518.29,0.10612,0.97501,0.99963,1.40066,0.006073,0.006073,0.006073
121,5563.49,0.1029,0.97501,0.99963,1.40101,0.00604,0.00604,0.00604
122,5608.24,0.09603,0.97464,0.99963,1.40012,0.006007,0.006007,0.006007
123,5653.37,0.09707,0.97464,0.99963,1.40012,0.005974,0.005974,0.005974
124,5698.58,0.09921,0.97427,0.99963,1.40021,0.005941,0.005941,0.005941
125,5744.04,0.09891,0.97464,0.99963,1.40039,0.005908,0.005908,0.005908
126,5789.1,0.09684,0.97464,0.99963,1.40057,0.005875,0.005875,0.005875
127,5833.58,0.09399,0.97501,0.99963,1.40128,0.005842,0.005842,0.005842
128,5879.44,0.10259,0.97501,0.99963,1.40083,0.005809,0.005809,0.005809
129,5923.83,0.10023,0.97501,0.99963,1.40066,0.005776,0.005776,0.005776
130,5968.73,0.09825,0.97464,0.99963,1.40066,0.005743,0.005743,0.005743
131,6014.39,0.09274,0.97427,0.99963,1.40048,0.00571,0.00571,0.00571
132,6059.13,0.09995,0.97391,0.99963,1.40057,0.005677,0.005677,0.005677
133,6104.83,0.09448,0.97317,0.99963,1.40057,0.005644,0.005644,0.005644
134,6149.84,0.10496,0.97391,0.99963,1.40154,0.005611,0.005611,0.005611
135,6194.57,0.09801,0.97317,0.99963,1.40092,0.005578,0.005578,0.005578
136,6239.98,0.09979,0.97317,0.99963,1.39977,0.005545,0.005545,0.005545
137,6284.87,0.08854,0.97354,0.99963,1.40004,0.005512,0.005512,0.005512
138,6329.94,0.09366,0.97427,0.99963,1.39977,0.005479,0.005479,0.005479
139,6375.8,0.08642,0.97464,0.99963,1.40012,0.005446,0.005446,0.005446
140,6420.35,0.09043,0.97464,0.99963,1.40128,0.005413,0.005413,0.005413
141,6465.89,0.09686,0.97501,0.99963,1.40048,0.00538,0.00538,0.00538
142,6510.58,0.09072,0.97501,0.99963,1.40083,0.005347,0.005347,0.005347
143,6553.69,0.09463,0.97464,0.99963,1.40004,0.005314,0.005314,0.005314
144,6597.45,0.09189,0.97501,0.99963,1.40048,0.005281,0.005281,0.005281
145,6640.43,0.09323,0.97501,0.99963,1.40012,0.005248,0.005248,0.005248
146,6684.2,0.09555,0.97464,0.99963,1.40021,0.005215,0.005215,0.005215
147,6727.23,0.08852,0.97464,0.99963,1.40021,0.005182,0.005182,0.005182
148,6771.77,0.08805,0.97464,0.99963,1.40057,0.005149,0.005149,0.005149
149,6814.47,0.09678,0.97464,0.99963,1.40039,0.005116,0.005116,0.005116
150,6858.44,0.08928,0.97427,0.99963,1.40048,0.005083,0.005083,0.005083
151,6901.36,0.09086,0.97427,0.99963,1.40057,0.00505,0.00505,0.00505
152,6944.82,0.08807,0.97427,0.99963,1.40057,0.005017,0.005017,0.005017
153,6988.75,0.08145,0.97464,0.99963,1.40075,0.004984,0.004984,0.004984
154,7031.84,0.0884,0.97427,0.99963,1.40066,0.004951,0.004951,0.004951
155,7075.85,0.08471,0.97464,0.99963,1.4003,0.004918,0.004918,0.004918
156,7119.29,0.07824,0.97501,0.99963,1.40021,0.004885,0.004885,0.004885
